# Estimated Coulombstress in Roof region of gallery in Morsleben (from Dirk Becker) (see Dahm, 2022, fig 7)
# Coulombstress_in_Pa   day_since_filling
1340141.76  28.146
1347945.08  28.187
1353035.35  28.229
1353860.12  28.271
1352775.70  28.312
1350562.04  28.354
1347278.03  28.396
1342982.56  28.437
1332118.19  28.479
1325078.95  28.521
1322845.81  28.562
1318537.05  28.604
1311794.10  28.646
1306489.46  28.687
1302591.90  28.729
1300921.67  28.771
1301616.73  28.812
1303113.64  28.854
1305930.41  28.896
1310194.92  28.937
1316382.71  28.979
1322467.71  29.021
1328750.94  29.062
1335371.33  29.104
1343345.91  29.146
1353385.38  29.187
1361867.56  29.229
1364969.48  29.271
1360013.26  29.312
1348979.34  29.354
1334957.43  29.396
1321037.23  29.437
1310288.95  29.479
1301248.72  29.521
1291837.61  29.562
1282715.45  29.604
1274542.11  29.646
1267977.44  29.687
1263681.28  29.729
1262309.84  29.771
1263737.75  29.812
1267159.01  29.854
1271977.52  29.896
1277597.17  29.937
1283421.84  29.979
1290485.25  30.021
1300856.03  30.062
1311923.87  30.104
1320902.35  30.146
1325005.09  30.187
1323893.56  30.229
1320494.08  30.271
1315704.78  30.312
1310402.63  30.354
1305460.71  30.396
1299747.50  30.437
1292884.04  30.479
1286372.57  30.521
1281715.34  30.562
1280345.30  30.604
1280785.35  30.646
1281799.11  30.687
1283300.08  30.729
1285201.79  30.771
1287588.34  30.812
1292559.04  30.854
1300327.62  30.896
1310336.12  30.937
1322026.58  30.979
1336711.86  31.021
1360718.13  31.062
1380063.48  31.104
1390938.41  31.146
1399557.03  31.187
1406656.57  31.229
1412974.26  31.271
1419247.31  31.312
1426212.95  31.354
1434608.41  31.396
1445024.04  31.437
1457155.22  31.479
1470401.23  31.521
1484163.91  31.562
1497845.14  31.604
1511383.84  31.646
1525267.83  31.687
1539352.01  31.729
1553483.36  31.771
1567509.01  31.812
1581490.83  31.854
1595515.68  31.896
1609499.48  31.937
1623358.15  31.979
1637008.73  32.021
1650448.10  32.062
1663732.24  32.104
1676903.35  32.146
1690003.62  32.188
1703063.38  32.229
1715964.92  32.271
1728748.25  32.312
1741517.98  32.354
1754378.69  32.396
1767434.98  32.438
1780860.24  32.479
1794804.12  32.521
1809098.39  32.562
1823560.59  32.604
1838008.23  32.646
1852258.87  32.688
1866130.04  32.729
1879439.26  32.771
1892004.09  32.812
1903895.31  32.854
1916480.05  32.896
1929667.12  32.938
1943066.71  32.979
1956288.98  33.021
1968944.11  33.062
1980642.28  33.104
1990993.66  33.146
1999608.44  33.188
2006096.78  33.229
2010068.88  33.271
2011142.12  33.312
2009447.59  33.354
2005413.62  33.396
1999346.49  33.438
1991552.43  33.479
1982337.70  33.521
1972008.56  33.562
1960871.25  33.604
1949232.02  33.646
1937397.14  33.688
1925672.84  33.729
1914365.39  33.771
1903781.04  33.812
1894226.03  33.854
1886006.62  33.896
1879429.06  33.938
1874799.61  33.979
1872424.52  34.021
1873104.62  34.062
1877579.90  34.104
1882673.94  34.146
1887495.10  34.188
1892878.64  34.229
1890445.12  34.271
1879193.71  34.312
1857750.60  34.354
1823112.91  34.396
1796655.96  34.438
1775126.12  34.479
1759848.46  34.521
1750095.80  34.562
1730258.36  34.604
1708850.38  34.646
1690541.89  34.688
1679934.09  34.729
1673939.83  34.771
1673565.05  34.812
1673630.01  34.854
1675036.49  34.896
1679205.21  34.938
1684381.85  34.979
1689007.98  35.021
1693716.25  35.062
1698719.78  35.104
1703983.14  35.146
1711006.38  35.188
1718415.52  35.229
1722848.33  35.271
1720854.85  35.312
1711895.84  35.354
1698631.42  35.396
1683806.98  35.438
1670167.91  35.479
1660459.60  35.521
1656986.34  35.562
1655501.03  35.604
1654233.00  35.646
1653203.30  35.688
1652433.00  35.729
1651943.15  35.771
1651754.82  35.812
1653334.97  35.854
1658129.23  35.896
1665117.99  35.938
1673264.31  35.979
1681531.28  36.021
1688881.98  36.062
1694724.71  36.104
1700914.79  36.146
1707294.04  36.188
1713257.19  36.229
1718199.00  36.271
1721514.21  36.312
1722577.52  36.354
1718103.04  36.396
1707900.66  36.438
1694667.62  36.479
1681101.18  36.521
1669898.58  36.562
1663757.04  36.604
1663872.75  36.646
1666626.25  36.688
1671210.38  36.729
1677125.76  36.771
1683873.02  36.812
1690952.77  36.854
1697937.77  36.896
1705888.31  36.938
1715120.41  36.979
1725377.63  37.021
1736403.52  37.062
1747941.66  37.104
1759735.59  37.146
1771966.43  37.188
1785171.49  37.229
1799142.50  37.271
